idx,mean_uncertainty,selected_mean_uncertainty
0,0.4673968553543091,0.6931462287902832
1,0.467375636100769,0.693146824836731
2,0.4686056077480316,0.6931470632553101
3,0.5958322286605835,0.6931471824645996
4,0.4673341512680053,0.6931452751159668
5,0.4694083034992218,0.6931295394897461
6,0.4703321754932403,0.693036675453186
7,0.4702692925930023,0.6931372284889221
8,0.4717753231525421,0.6931419372558594
9,0.4713801741600036,0.6931330561637878
10,0.4690363109111786,0.6931424736976624
11,0.4679684638977051,0.6931359767913818
12,0.4710786640644073,0.6931308507919312
13,0.4678471684455871,0.6931360960006714
14,0.4707833230495453,0.6931352615356445
15,0.4680898487567901,0.6930853128433228
16,0.4727739989757538,0.69314044713974
17,0.4696831107139587,0.6931384801864624
18,0.47346892952919,0.6921695470809937
19,0.4696055054664612,0.6931354403495789
20,0.4709022939205169,0.6931419372558594
21,0.4753803610801697,0.6931302547454834
22,0.4690333008766174,0.6931470632553101
23,0.4659584760665893,0.6930655241012573
24,0.4697922468185425,0.6930323839187622
25,0.4704965949058532,0.693124532699585
26,0.4682940542697906,0.6927471160888672
27,0.4733937382698059,0.6931308507919312
28,0.467759221792221,0.6928092241287231
29,0.4668917655944824,0.6929397583007812
30,0.468757688999176,0.6929888725280762
31,0.464957982301712,0.693091630935669
32,0.4708641767501831,0.6930849552154541
33,0.470456451177597,0.6928086280822754
34,0.46486696600914,0.6917176246643066
35,0.4717603027820587,0.6931271553039551
36,0.4683238267898559,0.6929534673690796
37,0.474659264087677,0.6920450329780579
38,0.4700182676315307,0.6929527521133423
39,0.4633818566799164,0.6929692029953003
40,0.4700409471988678,0.6930162906646729
41,0.4694474339485168,0.6929934620857239
42,0.4697279632091522,0.6928548216819763
43,0.4678777456283569,0.6929159164428711
44,0.4717139005661011,0.6928635239601135
45,0.4690336287021637,0.6921271085739136
46,0.4731851816177368,0.692912220954895
47,0.4681137204170227,0.6917750835418701
48,0.4710414409637451,0.6930005550384521
49,0.4690774381160736,0.693023681640625
50,0.4690734446048736,0.6930030584335327
51,0.4696394801139831,0.6929712295532227
52,0.4688125848770141,0.6925086975097656
53,0.4688455462455749,0.6929267644882202
54,0.4711103439331054,0.6925070285797119
55,0.4676433503627777,0.6925221681594849
56,0.4712381064891815,0.692521333694458
57,0.472047209739685,0.6927919387817383
58,0.4642912745475769,0.6923215389251709
59,0.4707692265510559,0.195504754781723
60,0.468237042427063,0.1951497793197631
61,0.4689498841762543,0.1976784914731979
62,0.4672962427139282,0.6925221681594849
63,0.4698214530944824,0.6926686763763428
64,0.3607651591300964,0.6931465864181519
65,0.3615518808364868,0.1185949444770813
66,0.3996093869209289,0.131252184510231
67,0.3996516168117523,0.131252184510231
68,0.3996325731277466,0.131252184510231
69,0.3997030556201935,0.1334218382835388
70,0.3997732400894165,0.1340213268995285
71,0.3998433947563171,0.1350758820772171
72,0.399913340806961,0.1363977640867233
73,0.3999831676483154,0.1367512643337249
74,0.4000529646873474,0.136764645576477
75,0.4001226723194122,0.1369094401597976
76,0.4001923501491546,0.1374508142471313
77,0.4002619981765747,0.1375001519918441
78,0.4003315567970276,0.1375229656696319
79,0.4004011750221252,0.1377831250429153
80,0.4004707634449005,0.1381943374872207
81,0.4005402028560638,0.1383822411298751
82,0.4006096124649048,0.1384322643280029
83,0.4006790220737457,0.1386243402957916
84,0.3656819760799408,0.1272982656955719
85,0.3629166781902313,0.1260174959897995
86,0.3630672991275787,0.1249305978417396
87,0.5935932397842407,0.4659271240234375
88,0.5703285336494446,0.383564680814743
89,0.5587302446365356,0.6931471824645996
90,0.5876007080078125,0.6931470632553101
91,0.5949252247810364,0.6931471824645996
92,0.5565317869186401,0.6931437253952026
93,0.5615840554237366,0.6931469440460205
94,0.5824272036552429,0.6931471824645996
95,0.5674112439155579,0.6931470632553101
96,0.5723588466644287,0.6931471824645996
97,0.5938010811805725,0.6931471228599548
98,0.6147422790527344,0.6931443214416504
99,0.6048077940940857,0.6931471824645996
100,0.5952588319778442,0.6931470632553101
101,0.5703502893447876,0.6931471824645996
102,0.5413982272148132,0.6931470632553101
103,0.5760618448257446,0.693146824836731
104,0.3377947807312011,0.6931090354919434
105,0.3377234041690826,0.6928558945655823
106,0.4569396078586578,0.692285418510437
107,0.3569522202014923,0.6931470632553101
108,0.3527740836143493,0.6931459307670593
109,0.3619363605976105,0.6931469440460205
110,0.3703231513500213,0.6931467056274414
111,0.3688482642173767,0.6931471228599548
112,0.3728050589561462,0.6931471228599548
113,0.3665865361690521,0.6931471228599548
114,0.3736514449119568,0.6931471228599548
115,0.3730476200580597,0.6931469440460205
116,0.37282195687294,0.6931470632553101
117,0.3639795482158661,0.6931471824645996
118,0.3735049068927765,0.6931471824645996
119,0.3752313256263733,0.6931471824645996
120,0.3732866942882538,0.6931471824645996
121,0.3763774335384369,0.6931471824645996
122,0.3734643161296844,0.6931467056274414
123,0.3633489608764648,0.693146824836731
124,0.351246029138565,0.6931465268135071
125,0.3520160913467407,0.6931453943252563
126,0.3562681376934051,0.6931470036506653
127,0.3675072491168976,0.6931264400482178
128,0.3610472381114959,0.6931470632553101
129,0.3663577437400818,0.6931464672088623
130,0.3626588582992553,0.6929725408554077
131,0.3471060693264007,0.6931449174880981
132,0.3536823689937591,0.6931354999542236
133,0.3562936186790466,0.6931399703025818
134,0.3720713257789612,0.6931471228599548
135,0.365284264087677,0.6931471228599548
136,0.3647308051586151,0.6931471824645996
137,0.3505618274211883,0.693143904209137
138,0.3542035520076751,0.6931438446044922
139,0.3608012795448303,0.6931408643722534
140,0.3676225841045379,0.693146824836731
141,0.38191619515419,0.6931471824645996
142,0.3710858523845672,0.6931462287902832
143,0.3719111680984497,0.6931471228599548
144,0.3788557946681976,0.6931471824645996
145,0.3805598020553589,0.6931471228599548
146,0.3780530095100403,0.6931471824645996
147,0.3839512467384338,0.6931471824645996
148,0.3846549391746521,0.6931471824645996
149,0.3862920105457306,0.6931471824645996
150,0.3851021528244018,0.6931471824645996
151,0.3842173516750335,0.6931471824645996
152,0.3824180364608764,0.6931471824645996
153,0.3820476233959198,0.6931471824645996
154,0.3853064179420471,0.6931471824645996
155,0.3709041476249695,0.6931471228599548
156,0.3446328639984131,0.6931471824645996
157,0.6610796451568604,0.6931471824645996
158,0.3811284005641937,0.6931471824645996
159,0.367069661617279,0.6931467056274414
160,0.3612387776374817,0.6931467056274414
161,0.3728768825531006,0.6931469440460205
162,0.3750673830509186,0.693146824836731
163,0.3577414155006408,0.6931471824645996
164,0.66066974401474,0.6931471824645996
165,0.6606820821762085,0.6931471824645996
166,0.6606787443161011,0.6931471824645996
167,0.6606754660606384,0.6931471824645996
168,0.6606721878051758,0.6931471228599548
169,0.6606689095497131,0.6931471228599548
170,0.6606656312942505,0.6931471228599548
171,0.6606623530387878,0.6931470632553101
172,0.0067099938169121,0.0364541187882423
173,0.0067084915935993,0.0317368768155574
174,0.6464676856994629,0.6931471824645996
175,0.6464582085609436,0.6931471824645996
176,0.6416440010070801,0.6931471824645996
177,0.6439149379730225,0.6931471824645996
178,0.6424686312675476,0.6931471228599548
179,0.645500898361206,0.6931471824645996
180,0.649255096912384,0.6931466460227966
181,0.6500874161720276,0.6931471228599548
182,0.6486349105834961,0.6931471824645996
183,0.6424326300621033,0.6931471824645996
184,0.6446565985679626,0.6931471228599548
185,0.6497820615768433,0.6931471824645996
186,0.6490066051483154,0.6931471824645996
187,0.650290310382843,0.693146824836731
188,0.6528642177581787,0.6931470036506653
189,0.6553428769111633,0.6931471824645996
190,0.6550472974777222,0.6931471228599548
191,0.6544633507728577,0.6931469440460205
192,0.6541934609413147,0.6931471824645996
193,0.6545112729072571,0.6931471824645996
194,0.5779444575309753,0.6931471824645996
195,0.573875904083252,0.6931471824645996
196,0.5786080360412598,0.6931471824645996
197,0.5748515725135803,0.6931471228599548
198,0.5820338129997253,0.6931471824645996
199,0.5820111632347107,0.6931471228599548
200,0.5789708495140076,0.6931471824645996
201,0.5731161236763,0.6931471228599548
202,0.5696843862533569,0.6931471824645996
203,0.5657676458358765,0.6931471228599548
204,0.571268618106842,0.6931470632553101
205,0.5612130165100098,0.6931471824645996
